Month,GMV,Net Revenue,Gross Profit,Holiday,Campaign
2023-01-01,1150000,161000,92000,New Year,Winter Push
2023-02-01,1080000,151000,86000,,Winter Push
2023-03-01,1210000,171000,99000,School Break,
2023-04-01,1260000,176000,102000,Easter,Spring Sale
2023-05-01,1320000,183000,105000,,Spring Sale
2023-06-01,1410000,196000,113000,Mid Year Break,Summer Escape
2023-07-01,1570000,220000,127000,School Holiday,Summer Escape
2023-08-01,1530000,215000,123000,School Holiday,Summer Escape
2023-09-01,1380000,191000,111000,,Flash Sale
2023-10-01,1460000,203000,117000,Golden Week,Flash Sale
2023-11-01,1520000,212000,122000,,Year End Prep
2023-12-01,1760000,251000,145000,Christmas,Year End Prep
2024-01-01,1190000,166000,95000,New Year,Winter Push
2024-02-01,1110000,154000,89000,,Winter Push
2024-03-01,1250000,176000,101000,School Break,
2024-04-01,1300000,181000,105000,Easter,Spring Sale
2024-05-01,1370000,189000,109000,,Spring Sale
2024-06-01,1460000,202000,116000,Mid Year Break,Summer Escape
2024-07-01,1620000,226000,131000,School Holiday,Summer Escape
2024-08-01,1580000,221000,128000,School Holiday,Summer Escape
2024-09-01,1430000,198000,114000,,Flash Sale
2024-10-01,1510000,210000,120000,Golden Week,Flash Sale
2024-11-01,1580000,219000,126000,,Year End Prep
2024-12-01,1830000,261000,151000,Christmas,Year End Prep
2025-01-01,1230000,171000,98000,New Year,Winter Push
2025-02-01,1150000,158000,91000,,Winter Push
2025-03-01,1280000,180000,104000,School Break,
2025-04-01,1340000,187000,108000,Easter,Spring Sale
2025-05-01,1400000,194000,112000,,Spring Sale
2025-06-01,1500000,208000,120000,Mid Year Break,Summer Escape
2025-07-01,1670000,233000,135000,School Holiday,Summer Escape
2025-08-01,1620000,228000,132000,School Holiday,Summer Escape
2025-09-01,1470000,203000,117000,,Flash Sale
2025-10-01,1560000,216000,124000,Golden Week,Flash Sale
2025-11-01,1630000,226000,130000,,Year End Prep
2025-12-01,1890000,270000,157000,Christmas,Year End Prep
